1073,106,1533,106,1533,131,1073,131,花
680,205,771,205,771,232,680,232,花
1259,198,1358,198,1358,226,1259,226,花
215,240,276,240,276,273,215,273,花
100,316,208,316,208,344,100,344,花
101,358,187,358,187,388,101,388,花
101,397,171,397,171,425,101,425,花
97,435,371,435,371,463,97,463,花
105,475,193,475,193,504,105,504,花
101,516,392,516,392,544,101,544,花
105,555,403,555,403,586,105,586,花
103,588,165,588,165,613,103,613,花
106,622,195,622,195,651,106,651,花
105,661,173,661,173,693,105,693,花
106,700,234,700,234,732,106,732,花
106,742,235,742,235,770,106,770,花
108,779,394,779,394,811,108,811,花
400,244,563,244,563,275,400,275,花
442,277,518,277,518,305,442,305,花
407,312,565,312,565,343,407,343,花
405,355,565,355,565,383,405,383,花
407,391,565,391,565,420,407,420,花
414,435,567,435,567,463,414,463,花
444,471,567,471,567,500,444,500,花
413,511,568,511,568,540,413,540,花
519,566,569,566,569,594,519,594,花
415,616,568,616,568,647,415,647,花
421,657,569,657,569,687,421,687,花
519,698,570,698,570,728,519,728,花
416,739,569,739,569,765,416,765,花
528,781,570,781,570,806,528,806,花
591,779,722,779,722,804,591,804,花
576,738,724,738,724,764,576,764,花
670,700,723,700,723,723,670,723,花
577,655,722,655,722,684,577,684,花
576,618,720,618,720,647,576,647,花
680,566,719,566,719,591,680,591,花
575,512,721,512,721,539,575,539,花
588,473,719,473,719,498,588,498,花
584,432,717,432,717,460,584,460,花
571,392,718,392,718,420,571,420,花
585,354,719,354,719,379,585,379,花
584,312,717,312,717,338,584,338,花
572,247,716,247,716,270,572,270,花
609,275,679,275,679,299,609,299,花
730,245,873,245,873,269,730,269,花
738,274,860,274,860,297,738,297,花
732,312,879,312,879,340,732,340,花
732,350,881,350,881,377,732,377,花
731,393,883,393,883,420,731,420,花
728,431,883,431,883,458,728,458,花
745,467,884,467,884,495,745,495,花
733,508,882,508,882,536,733,536,花
837,563,884,563,884,588,837,588,花
804,615,882,615,882,644,804,644,花
747,657,884,657,884,685,747,685,花
841,698,883,698,883,725,841,725,花
752,737,886,737,886,765,752,765,花
841,781,888,781,888,803,841,803,花
174,832,701,832,701,862,174,862,花
925,734,1054,734,1054,760,925,760,花
1003,775,1053,775,1053,801,1003,801,花
1001,694,1054,694,1054,718,1001,718,花
928,654,1051,654,1051,680,928,680,花
927,613,1052,613,1052,641,927,641,花
1006,564,1052,564,1052,590,1006,590,花
905,509,1050,509,1050,537,905,537,花
1007,468,1050,468,1050,494,1007,494,花
897,429,1051,429,1051,456,897,456,花
902,388,1051,388,1051,418,902,418,花
896,348,1048,348,1048,376,896,376,花
916,307,1047,307,1047,336,916,336,花
1060,307,1214,307,1214,333,1060,333,花
1059,348,1212,348,1212,375,1059,375,花
1056,389,1213,389,1213,413,1056,413,花
1064,426,1214,426,1214,455,1064,455,花
1169,466,1215,466,1215,494,1169,494,花
1066,507,1216,507,1216,535,1066,535,花
1166,559,1216,559,1216,586,1166,586,花
1066,613,1215,613,1215,643,1066,643,花
1079,652,1217,652,1217,680,1079,680,花
1085,694,1217,694,1217,723,1085,723,花
1081,734,1218,734,1218,761,1081,761,花
1083,772,1218,772,1218,804,1083,804,花
889,241,1039,241,1039,268,889,268,花
932,271,1003,271,1003,297,932,297,花
1058,239,1207,239,1207,268,1058,268,花
1084,270,1178,270,1178,295,1084,295,花
1221,239,1370,239,1370,265,1221,265,花
1265,268,1336,268,1336,295,1265,295,花
1247,307,1385,307,1385,333,1247,333,花
1248,349,1383,349,1383,375,1248,375,花
1230,385,1384,385,1384,412,1230,412,花
1247,428,1385,428,1385,452,1247,452,花
1248,467,1384,467,1384,493,1248,493,花
1233,506,1385,506,1385,534,1233,534,花
1336,559,1384,559,1384,587,1336,587,花
1235,612,1385,612,1385,641,1235,641,花
1251,651,1387,651,1387,681,1251,681,花
1343,690,1386,690,1386,718,1343,718,花
1250,732,1385,732,1385,760,1250,760,花
1259,772,1388,772,1388,800,1259,800,花
1510,771,1558,771,1558,798,1510,798,花
1430,731,1561,731,1561,760,1430,760,花
1428,692,1557,692,1557,718,1428,718,花
1460,650,1557,650,1557,679,1460,679,花
1510,612,1559,612,1559,637,1510,637,花
1511,557,1559,557,1559,584,1511,584,花
1404,505,1555,505,1555,532,1404,532,花
1512,466,1555,466,1555,491,1512,491,花
1400,423,1557,423,1557,451,1400,451,花
1403,383,1555,383,1555,413,1403,413,花
1403,345,1553,345,1553,375,1403,375,花
1402,305,1554,305,1554,332,1402,332,花
1387,238,1553,238,1553,262,1387,262,花
1414,264,1523,264,1523,294,1414,294,花
